equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged by Bayraktar TB2,destroyed,destroyed by Bayraktar TB2,sunk
Tanks,T-64BV,,the Soviet Union,18,,,3.0,,,2.0,,1.0,,12.0,,
Tanks,T-72A,,the Soviet Union,15,,,9.0,,,,,,,6.0,,
Tanks,T-72AV,,the Soviet Union,7,,,2.0,,,,,1.0,,4.0,,
Tanks,T-72B,,the Soviet Union,126,3.0,,40.0,2.0,1.0,2.0,3.0,4.0,,71.0,,
Tanks,T-72B Obr. 1989,,Russia,49,3.0,1.0,13.0,,1.0,1.0,,3.0,,27.0,,
Tanks,T-72BA,,Russia,4,,,3.0,,,1.0,,,,,,
Tanks,T-72B3,,Russia,113,8.0,,48.0,1.0,,3.0,2.0,1.0,,50.0,,
Tanks,T-72B3 Obr. 2016,,Russia,100,4.0,2.0,45.0,,,,,5.0,,44.0,,
Tanks,T-80BV,,the Soviet Union,30,1.0,1.0,11.0,,,,5.0,,,12.0,,
Tanks,T-80U,,Russia,68,14.0,2.0,22.0,,2.0,,,2.0,,26.0,,
Tanks,T-80UK,,Russia,2,,1.0,1.0,,,,,,,,,
Tanks,T-80UE-1,,Russia,5,,,4.0,,,,,,,1.0,,
Tanks,T-80UM2,,Russia,1,,,,,,,,,,1.0,,
Tanks,T-80BVM,,Russia,25,1.0,,15.0,,,,,,,9.0,,
Tanks,T-90A,,Russia,19,2.0,2.0,9.0,,,,,,,6.0,,
Tanks,T-90M,,Russia,1,,,,,,,,,,1.0,,
Tanks,Unknown tank,,Russia,110,2.0,,3.0,,,14.0,,,,91.0,,
Armoured Fighting Vehicles,BRM-1K reconnaissance vehicle,,the Soviet Union,9,,,1.0,,,,,,,8.0,,
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,107,16.0,,52.0,,,,,,,39.0,,
Armoured Fighting Vehicles,MT-LBVM and MT-LBVMK,,the Soviet Union,80,9.0,,48.0,,,,,,,23.0,,
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,5,,,,,,,,,,4.0,1.0,
Armoured Fighting Vehicles,MT-LBM 6MB,,the Soviet Union,2,1.0,,,,,,,,,1.0,,
Armoured Fighting Vehicles,MT-LB Ambulance,,the Soviet Union,2,,,,,,,,,,2.0,,
Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,12,1.0,,5.0,,,,,,,6.0,,
Armoured Fighting Vehicles,1V13(M) battery fire control center,,the Soviet Union,10,1.0,2.0,5.0,,,,,,,2.0,,
Armoured Fighting Vehicles,1V14 battery command and forward observer vehicle,,the Soviet Union,5,1.0,,3.0,,,,,1.0,,,,
Armoured Fighting Vehicles,1V119 artillery fire direction vehicle,,the Soviet Union,7,,,5.0,,,,,,,2.0,,
Armoured Fighting Vehicles,Vityaz DT-30 articulated tracked carrier,,Russia,3,,,1.0,,,,,1.0,,1.0,,
Armoured Fighting Vehicles,GAZ-3344-20 'Aleut' articulated tracked carrier,,Russia,2,,,,,,,,,,2.0,,
Armoured Fighting Vehicles,2S1 with ZU-23 AA gun,,the Soviet Union,1,,,1.0,,,,,,,,,
Armoured Fighting Vehicles,TZM-T reloader vehicle (for TOS-1A),,Russia,7,,2.0,4.0,,,,,,,1.0,,
Armoured Fighting Vehicles,Unknown BTR-D/BMD-2,,the Soviet Union,22,,,1.0,,,,,,,21.0,,
Armoured Fighting Vehicles,Unknown BTR-80/BTR-82A,,Russia,21,2.0,,,,,,1.0,,,18.0,,
Armoured Fighting Vehicles,Unknown AFV,,Russia,75,3.0,,2.0,,,3.0,,,,64.0,3.0,
Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,46,1.0,,18.0,,,1.0,1.0,,,25.0,,
Infantry Fighting Vehicles,BMP-1AM,,Russia,4,1.0,,,,,,1.0,,,2.0,,
Infantry Fighting Vehicles,BMP-2,,the Soviet Union,266,23.0,,57.0,,,1.0,6.0,5.0,,174.0,,
Infantry Fighting Vehicles,BMP-2K,,the Soviet Union,1,1.0,,,,,,,,,,,
Infantry Fighting Vehicles,BMP-3,,Russia,96,1.0,,34.0,,,1.0,,4.0,,56.0,,
Infantry Fighting Vehicles,BMO-T,,Russia,1,,,,,,,,,,1.0,,
Infantry Fighting Vehicles,BMD-2,,the Soviet Union,100,6.0,,37.0,1.0,2.0,1.0,1.0,1.0,,49.0,2.0,
Infantry Fighting Vehicles,BMD-2,with RP-337VM1 jammer,the Soviet Union,2,,,1.0,,,,,,,1.0,,
Infantry Fighting Vehicles,BMD-2,with RP-377VM1 jammer,the Soviet Union,1,,,1.0,,,,,,,,,
Infantry Fighting Vehicles,BMD-4M,,Russia,43,1.0,,10.0,,,,,,,32.0,,
Infantry Fighting Vehicles,BMD-4M,with RP-337VM1 jammer,Russia,1,,,1.0,,,,,,,,,
Infantry Fighting Vehicles,BTR-82A,,Russia,161,10.0,,54.0,,,5.0,1.0,3.0,,88.0,,
Infantry Fighting Vehicles,Unknown BMP-1/2,,the Soviet Union,22,1.0,,,,,2.0,1.0,,,18.0,,
Armoured Personnel Carriers,BTR-70,,the Soviet Union,1,,,,,,,,,,1.0,,
Armoured Personnel Carriers,BTR-80,,the Soviet Union,56,6.0,,26.0,,,1.0,,2.0,,21.0,,
Armoured Personnel Carriers,BTR-D,,the Soviet Union,43,7.0,,21.0,,,,,1.0,,14.0,,
Armoured Personnel Carriers,BTR-MDM 'Rakushka',,Russia,10,,,7.0,,,1.0,,,,2.0,,
Mine-Resistant Ambush Protected,KamAZ-63968 'Typhoon',,Russia,14,2.0,,3.0,,,1.0,,,,8.0,,
Mine-Resistant Ambush Protected,K-53949 'Typhoon-K',,Russia,8,1.0,,2.0,,,,,,,5.0,,
Mine-Resistant Ambush Protected,K-53949 'Linza',,Russia,4,,,3.0,,,,,,,1.0,,
Infantry Mobility Vehicles,GAZ Tigr,,Russia,6,1.0,,2.0,,,,,,,3.0,,
Infantry Mobility Vehicles,GAZ Tigr-M,,Russia,74,,,27.0,,,1.0,3.0,1.0,,42.0,,
Infantry Mobility Vehicles,GAZ Tigr-M,with Arbalet-DM turret,Russia,6,,,1.0,,,,,,,5.0,,
Infantry Mobility Vehicles,Iveco LMV 'Rys',,Italy,23,1.0,,2.0,,,1.0,,1.0,,18.0,,
Command Posts And Communications Stations,BMP-1KSh command and staff vehicle,,the Soviet Union,5,,,3.0,,,,,,,2.0,,
Command Posts And Communications Stations,BMD-1KSh-A command vehicle,,the Soviet Union,2,,,,,,,,,,2.0,,
Command Posts And Communications Stations,BTR-60PU-12M air defence command vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,
Command Posts And Communications Stations,R-145BM1 command vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,R-149MA1 command and staff vehicle,,Russia,26,2.0,,12.0,,,,1.0,,,11.0,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,,Russia,10,,,4.0,,,,,2.0,,4.0,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,with RP-337VM1 jammer,Russia,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,with RP-377VM1 jammer,Russia,1,,,1.0,,,,,,,,,
Command Posts And Communications Stations,APE-5 command post,,Russia,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,9S470M1 (or variant thereof) command post (for Buk-M1/2),,Russia,1,,,,,,,,,,1.0,,
Command Posts And Communications Stations,MP-2IM signals vehicle,,Russia,1,1.0,,,,,,,,,,,
Command Posts And Communications Stations,Barnaul-T 9С932-1 automated system for air defence units,,Russia,5,1.0,,4.0,,,,,,,,,
Command Posts And Communications Stations,"9S932-2 intelligence, control and command vehicle (for Barnaul-T)",,Russia,1,1.0,,,,,,,,,,,
Command Posts And Communications Stations,R-149AKSh-1 command and signals vehicle,,Russia,3,,,,,,,,,,3.0,,
Command Posts And Communications Stations,R-166-0.5 signals vehicle,,Russia,13,1.0,,4.0,,,,,1.0,,7.0,,
Command Posts And Communications Stations,R-419L1 communications station,,Russia,1,1.0,,,,,,,,,,,
Command Posts And Communications Stations,P-260-U signal vehicle (for Redut-2US signal and communications system),,Russia,1,,,,1.0,,,,,,,,
Command Posts And Communications Stations,Unknown communications station based on the KamAZ 6x6,,Russia,1,,,,,,,,1.0,,,,
Command Posts And Communications Stations,Unknown communications station,,Russia,1,,,,,,,,,,,1.0,
Engineering Vehicles And Equipment,UR-67 mine clearing charge on BTR-D APC,,the Soviet Union,1,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,UR-77 'Meteorit'  mine clearing vehicle,,the Soviet Union,13,2.0,,7.0,,,,,,,4.0,,
Engineering Vehicles And Equipment,GMZ-3 minelayer,,the Soviet Union,1,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,RKhM-6 Povozka,,Russia,2,,,,,,,,,,2.0,,
